Thread[Thread-1,5,main] Beacon Parent -> 30    Beacon Voltage 17109  Beacon etx 2849 
 Beacon Parent -> 30    Beacon Voltage 17144  Beacon etx 2825 
 Beacon Parent -> 10    Beacon Voltage 12985  Beacon etx 2805 
 Beacon Parent -> 30    Beacon Voltage 17116  Beacon etx 2815 
 Beacon Parent -> 30    Beacon Voltage 17101  Beacon etx 2815 
 Beacon Parent -> 10    Beacon Voltage 13021  Beacon etx 2773 
 Beacon Parent -> 30    Beacon Voltage 17165  Beacon etx 2783 
 Beacon Parent -> 10    Beacon Voltage 25421  Beacon etx 2831 

@ CTP # No: 180 # Best 20 # BestVolt: 17165 # PathVolt: 16494 # BestEtx: 2783 # PathEtx: -1
 Beacon Parent -> 10    Beacon Voltage 25389  Beacon etx 2819 
 Beacon Parent -> 10    Beacon Voltage 25370  Beacon etx 2815 
 Beacon Parent -> 10    Beacon Voltage 25416  Beacon etx 2811 
 Beacon Parent -> 10    Beacon Voltage 25382  Beacon etx 2808 

@ CTP # No: 200 # Best 20 # BestVolt: 17165 # PathVolt: 16494 # BestEtx: 2783 # PathEtx: -1
 Beacon Parent -> 10    Beacon Voltage 25374  Beacon etx 2804 

@ CTP # No: 220 # Best 20 # BestVolt: 17165 # PathVolt: 16494 # BestEtx: 2783 # PathEtx: -1
 Beacon Parent -> 10    Beacon Voltage 25430  Beacon etx 3064 

@ CTP # No: 240 # Best 20 # BestVolt: 17165 # PathVolt: 16494 # BestEtx: 2783 # PathEtx: -1
 Beacon Parent -> 30    Beacon Voltage 29566  Beacon etx 3074 
 Beacon Parent -> 10    Beacon Voltage 25417  Beacon etx 3037 
 Beacon Parent -> 30    Beacon Voltage 29529  Beacon etx 3047 
 Beacon Parent -> 10    Beacon Voltage -27727  Beacon etx 3264 
 Beacon Parent -> 30    Beacon Voltage -23606  Beacon etx 3274 
 Beacon Parent -> 30    Beacon Voltage -23615  Beacon etx 3274 
 Beacon Parent -> 10    Beacon Voltage -27743  Beacon etx 3220 
 Beacon Parent -> 10    Beacon Voltage -27735  Beacon etx 3220 

@ CTP # No: 260 # Best 20 # BestVolt: -23615 # PathVolt: 16494 # BestEtx: 3274 # PathEtx: -1
 Beacon Parent -> 10    Beacon Voltage -15387  Beacon etx 3379 

@ CTP # No: 280 # Best 20 # BestVolt: -23615 # PathVolt: 16494 # BestEtx: 3274 # PathEtx: -1
 Beacon Parent -> 10    Beacon Voltage -15394  Beacon etx 3431 
 Beacon Parent -> 10    Beacon Voltage -15368  Beacon etx 3431 

